,x
1,-0.170448953
2,-0.170510292
3,-0.17063297
4,-0.170816986
5,-0.171068484
6,-0.171387464
7,-0.171773926
8,-0.17219869
9,-0.172661758
10,-0.17316313
11,-0.173835259
12,-0.174678145
13,-0.175691789
14,-0.176276212
15,-0.176431412
16,-0.176157391
17,-0.175574162
18,-0.174681725
19,-0.173480081
20,-0.171999141
21,-0.170238906
22,-0.168199376
23,-0.165618452
24,-0.162496135
25,-0.158832424
26,-0.155842375
27,-0.153525986
28,-0.151883258
29,-0.150657312
30,-0.149848148
31,-0.149455765
32,-0.149485286
33,-0.149936711
34,-0.150810038
35,-0.152337821
36,-0.154520059
37,-0.157356752
38,-0.159738158
39,-0.161664277
40,-0.163135109
41,-0.164391886
42,-0.165434607
43,-0.166263273
44,-0.166841775
45,-0.167170113
46,-0.167248287
47,-0.167006581
48,-0.166444997
49,-0.165563534
50,-0.164729446
51,-0.163942735
52,-0.163203399
53,-0.162429225
54,-0.161620214
55,-0.160776365
56,-0.159920938
57,-0.159053934
58,-0.158175352
59,-0.15725692
60,-0.156298638
61,-0.155300507
62,-0.154373558
63,-0.153517793
64,-0.152733209
65,-0.151998811
66,-0.151314598
67,-0.15068057
68,-0.150085433
69,-0.149529189
70,-0.149011837
71,-0.148608016
72,-0.148317725
73,-0.148140966
74,-0.147734496
75,-0.147098315
76,-0.146232423
77,-0.145207181
78,-0.144022588
79,-0.142678644
80,-0.141184381
81,-0.139539799
82,-0.137744898
83,-0.135686418
84,-0.133364358
85,-0.130778719
86,-0.128458455
87,-0.126403567
88,-0.124614054
89,-0.122976658
90,-0.121491381
91,-0.120158221
92,-0.118986198
93,-0.117975312
94,-0.117125562
95,-0.116507366
96,-0.116120724
97,-0.115965636
98,-0.115698602
99,-0.115319623
100,-0.114828698
101,-0.114301152
102,-0.113736984
103,-0.113136195
104,-0.112484495
105,-0.111781885
106,-0.111028365
107,-0.110216481
108,-0.109346234
109,-0.108417622
110,-0.10748034
111,-0.106534388
112,-0.105579764
113,-0.104605706
114,-0.103612214
115,-0.102599288
116,-0.101568361
117,-0.100519434
118,-0.099452507
119,-0.098371531
120,-0.097276508
121,-0.096167437
122,-0.09502411
123,-0.093846526
124,-0.092634686
125,-0.091390889
126,-0.090115134
127,-0.088807422
128,-0.087477041
129,-0.086123991
130,-0.084748273
131,-0.083303466
132,-0.081789569
133,-0.080206583
134,-0.078765717
135,-0.077466971
136,-0.076310344
137,-0.075250668
138,-0.074287943
139,-0.07342217
140,-0.072656689
141,-0.0719915
142,-0.071426603
143,-0.070991298
144,-0.070685584
145,-0.070509463
146,-0.070320418
147,-0.07011845
148,-0.069903558
149,-0.069707846
150,-0.069531313
151,-0.069373961
152,-0.069225813
153,-0.069086871
154,-0.068957134
155,-0.068851877
156,-0.068771102
157,-0.068714807
158,-0.068620408
159,-0.068487907
160,-0.068317302
161,-0.068120505
162,-0.067897516
163,-0.067648335
164,-0.067378968
165,-0.067089414
166,-0.066779674
167,-0.06640931
168,-0.065978321
169,-0.065486709
170,-0.065120546
171,-0.064879832
172,-0.064764567
173,-0.064738416
174,-0.064801377
175,-0.064953451
176,-0.065181163
177,-0.065484512
178,-0.065863499
179,-0.066418468
180,-0.067149419
181,-0.068056353
182,-0.068676107
183,-0.06900868
184,-0.069054074
185,-0.06890921
186,-0.06857409
187,-0.068048713
188,-0.067335856
189,-0.066435521
190,-0.065347706
191,-0.063962294
192,-0.062279286
193,-0.060298682
194,-0.058540761
195,-0.057005522
196,-0.055692966
197,-0.05449124
198,-0.053400343
199,-0.052420276
200,-0.051562062
201,-0.050825703
202,-0.050211198
203,-0.049778033
204,-0.049526209
205,-0.049455725
206,-0.049272997
207,-0.048978022
208,-0.048570803
209,-0.048113735
210,-0.04760682
211,-0.047050056
212,-0.046440643
213,-0.04577858
214,-0.045063867
215,-0.044247416
216,-0.043329226
217,-0.042309297
218,-0.041423604
219,-0.040672145
220,-0.040054922
221,-0.039521557
222,-0.039072048
223,-0.038706396
224,-0.038427924
225,-0.038236631
226,-0.038132518
227,-0.038150181
228,-0.03828962
229,-0.038550835
230,-0.038766171
231,-0.038935626
232,-0.039059202
233,-0.039173911
234,-0.039279753
235,-0.039376727
236,-0.039456681
237,-0.039519614
238,-0.039565526
239,-0.039596135
240,-0.039611439
